Product_Name,Product_Description,Color,Wholesale_Price,Retail_Price,VendorID
Nike Sphere Dry Cap. 247077,Nike Sphere Dry technology ensures maximum moisture control and quick-drying performance. This cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% polyester. ,Navy,10.25,20.5,2000
Nike Sphere Dry Cap. 247077,Nike Sphere Dry technology ensures maximum moisture control and quick-drying performance. This cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% polyester. ,Birch,10.25,20.5,2000
Nike Sphere Dry Cap. 247077,Nike Sphere Dry technology ensures maximum moisture control and quick-drying performance. This cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% polyester. ,White,10.25,20.5,2000
Nike Sphere Dry Cap. 247077,Nike Sphere Dry technology ensures maximum moisture control and quick-drying performance. This cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% polyester. ,Black,10.25,20.5,2000
Nike Swoosh Front Cap. 333114,Contrast stitching makes this cap stand out while a water-resistant finish combats moisture. This cap has an unstructured low-profile design and a hook and loop closure. The contrast Swoosh design trademark is embroidered on the front. Made of 100% polyester. ,Black,10.25,20.5,2000
Nike Swoosh Front Cap. 333114,Contrast stitching makes this cap stand out while a water-resistant finish combats moisture. This cap has an unstructured low-profile design and a hook and loop closure. The contrast Swoosh design trademark is embroidered on the front. Made of 100% polyester. ,Midnight Navy,10.25,20.5,2000
Nike Swoosh Front Cap. 333114,Contrast stitching makes this cap stand out while a water-resistant finish combats moisture. This cap has an unstructured low-profile design and a hook and loop closure. The contrast Swoosh design trademark is embroidered on the front. Made of 100% polyester. ,Pinenut,10.25,20.5,2000
Nike Swoosh Front Cap. 333114,Contrast stitching makes this cap stand out while a water-resistant finish combats moisture. This cap has an unstructured low-profile design and a hook and loop closure. The contrast Swoosh design trademark is embroidered on the front. Made of 100% polyester. ,Varsity Royal,10.25,20.5,2000
Nike Swoosh Front Cap. 333114,Contrast stitching makes this cap stand out while a water-resistant finish combats moisture. This cap has an unstructured low-profile design and a hook and loop closure. The contrast Swoosh design trademark is embroidered on the front. Made of 100% polyester. ,Vivid Green,9.99,19.98,2000
Nike Swoosh Front Cap. 333114,Contrast stitching makes this cap stand out while a water-resistant finish combats moisture. This cap has an unstructured low-profile design and a hook and loop closure. The contrast Swoosh design trademark is embroidered on the front. Made of 100% polyester. ,White,10.25,20.5,2000
Nike Dri-FIT Swoosh Visor. 429466,A high-performance three-panel visor built with Dri-FIT moisture management technology. Contrast stitching adds interest while the hook and loop closure ensures a custom fit. The contrast Swoosh design trademark is embroidered on the bill. Front panel measures approximately 1.875 h x 10 w. Made of 100% Dri-FIT polyester twill. ,Black,9.25,18.5,2000
Nike Dri-FIT Swoosh Visor. 429466,A high-performance three-panel visor built with Dri-FIT moisture management technology. Contrast stitching adds interest while the hook and loop closure ensures a custom fit. The contrast Swoosh design trademark is embroidered on the bill. Front panel measures approximately 1.875 h x 10 w. Made of 100% Dri-FIT polyester twill. ,Navy,9.25,18.5,2000
